nro_llamado,titulo,fecha_inicio,fecha_fin,tipo_tarea,tipo_vinculo,tiempo_contrato,descripcion,requisitos,recepcion_postulaciones,recepcion_consultas,telefono_consultas,organismo,comentario_interes
6925/2020,Llam.026/20 Asp. Ef. Prof. Agregado - Universidad de la República - Facultad de Ciencias Económicas y de Administración,04/12/2020,06/10/2020,Docentes,Presupuestado,,"En cuanto a tareas de investigación y extensión, el profesor Agregado es el encargado de orientar y supervisar el desarrollo de proyectos. Supervisa a todo el personal adscripto a dichos proyectos y tiene responsabilidad directa en su formación. En cuanto a tareas de enseñanza será copartícipe en la orientación y organización de los cursos correspondientes. Es inherente al cargo el dictado de cursos de grado y posgrado y la formación del personal docente.",En el Marco del Programa de Contratación de Académicos provenientes del exterior - CSIC,"Facultad de Ciencias Económicas y de Administración, Av. Gonzalo Ramírez 1926, Sección Concursos (lunes a viernes de 10:00 a 13:00 horas, excepto el día de cierre en que solamente se reciben inscripciones hasta la hora 12:00).",concurso@ccee.edu.uy,24118839 int.122,Universidad de la República - Facultad de Ciencias Económicas y de Administración,"Inscripción personal y presencial, en Sección Concursos mediante agenda previa solicitada a la casilla de correo concurso@ccee.edu.uy o al teléfono 2-411 8839 (int.122)"
6916/2020,Provisión Interina - Universidad de la República - Facultad de Agronomí­a,05/11/2020,05/10/2020,Docentes,,De la toma de posesión y por 1 año,CARPETA Nro. 10.272 (020400-000568-20),"CARPETA Nro. 10.272 (020400-000568-20)1 (un) cargo de Asistente del Dpto. de Suelos y Aguas - GD Suelos / Edafología (Gr. 2, 30 hs sem., Montevideo), a partir de la toma de posesión y por el término de 1 (un) año. Financiado con fondos no estructurales del citado Dpto. (financiación 1.1, llave presupuestal 200 010 116)",Facultad de Agronomía - Sección Concursos,Facultad de Agronomía - Sección Concursos,concurso@fagro.edu.uy,Universidad de la República - Facultad de Agronomí­a,"""...La presente convocatoria se enmarca en la Política de Calidad con equidad de género que el Consejo de Facultad de Agronomía aprobó (Resolución 541 del 09.05.2016), la que promueve la integración de mujeres y varones en todos los cargos sin discriminación alguna en este servicio""."
6917/2020,Provisión Efectivo - Universidad de la República - Facultad de Agronomí­a,04/12/2020,05/10/2020,Docentes,Presupuestado,De la toma de posesión y por 2 años.,CARPETA Nro. 10.273 (020300-000968-20),"CARPETA Nro. 10.273 (020300-000968-20)1 (un) cargo de Asistente del Dpto. de Producción Animal - GD Mejoramiento Genético Animal (Gr. 2, 30 hs sem., Montevideo), a partir de la toma de posesión y por el término de 2 (dos) años, financiado con fondos estructurales del citado Dpto. (financiación 1.1 - llave presupuestal 200 010 114)",Facultad de Agronomía - Sección Concursos,Facultad de Agronomía - Sección Concursos,concurso@fagro.edu.uy,Universidad de la República - Facultad de Agronomí­a,"""...La presente convocatoria se enmarca en la Política de Calidad con equidad de género que el Consejo de Facultad de Agronomía aprobó (Resolución 541 del 09.05.2016), la que promueve la integración de mujeres y varones en todos los cargos sin discriminación alguna en este servicio""."
6918/2020,Provisión Efectiva - Universidad de la República - Facultad de Agronomí­a,04/12/2020,05/10/2020,Docentes,Presupuestado,De la toma de posesión y por 2 años.,CARPETA Nro. 10.274 (020300-001023-20),"CARPETA Nro. 10.274 (020300-001023-20)1 (un) cargo de Asistente del Dpto. de Producción Animal y Pasturas - GD Fisiología y Reproducción Animal (Gr. 2, 30 hs sem., Montevideo), a partir de la toma de posesión y por el término de 2 (dos) años. Financiado con fondos estructurales del citado Dpto. (financiación 1.1 - llave presupuestal 200 010 114).",Facultad de Agronomía - Sección Concursos,Facultad de Agronomía - Sección Concursos,concurso@fagro.edu.uy,Universidad de la República - Facultad de Agronomí­a,"""...La presente convocatoria se enmarca en la Política de Calidad con equidad de género que el Consejo de Facultad de Agronomía aprobó (Resolución 541 del 09.05.2016), la que promueve la integración de mujeres y varones en todos los cargos sin discriminación alguna en este servicio""."
6919/2020,MÉDICO NEFRÓLOGO AMP SUPLENTE - Administración de Servicios de Salud del Estado - Hospital Español,19/10/2020,05/10/2020,Profesionales,Contratado,SUPLENTE,Realizar consultas nefrológicas de emergencia y CTI que surjan.Controlar las dialisis coordinadas y de urgencia. Coordinar los procedimientos de dialisis.Realizar la valoración de pacientes de Piso urgentes que surjan en la guardia. Realizar los cateterismos venosos de los pacientes que requieren dialisis urgente.Colaborar en la realización de biopsias renales.Utilizar los sistemas informáticos de ASSE en el desempeño de su función.,Ser ciudadano/a Natural o LegalTítulo de Médico Nefrólogo registrado y habilitado en el M.S.P o Médico General en iguales condiciones cursando Post Grado o Residencia en Nefrología con constancia de la Catedra.Currículum Vitae con documentación probatoria foliado (méritos y antecedentes). Acreditar inscripción vigente en el Colegio Médico del Uruguay.(Ley N 18.591 – Art.2)No tener antecedentes funcionales negativos provenientes de cualquier Entidad Pública y que revistan gravedad (al momento de la contratación).,"Los interesados deberán concurrir a la Oficina de Recursos Humanos del Hospital sito en la calle Garibaldi 1729, de lunes a viernes(días hábiles) en el horario de 9 a 13hs.","Los interesados deberán concurrir a la Oficina de Recursos Humanos del Hospital sito en la calle Garibaldi 1729, de lunes a viernes(días hábiles) en el horario de 9 a 13hs.","22097899 INT 230,231 o 350",Administración de Servicios de Salud del Estado - Hospital Español,"Escolaridad, Capacitación complementaria, Antigüedad en la función y evaluación de desempeño. Inscripción: presentar original y fotocopia de: Cédula de Identidad ,Credencial Cívica Título,registrados y habilitados en el M.S.PCurrículum Vitae y documentación probatoria méritos y antecedentes."
6920/2020,MÉDICO INTENSIVISTA AMP SUPLENTE - Administración de Servicios de Salud del Estado - Hospital Español,19/10/2020,05/10/2020,Profesionales,Contratado,SUPLENTE,Cubrir las tareas asistenciales de los médicos de guardia o coordinadores de la unidad en lo referente a la asistencia directa de los pacientes.Dar continuidad a los lineamientos que surgen de la reunión de coordinación o de la valoración clínica de los pacientes. Entre otros,Ser ciudadano/a Natural o Legal Título de Médico Intensivista registrado y habilitado en el M.S.P. Currículum Vitae con documentación probatoria foliado (méritos y antecedentes). Acreditar inscripción vigente en el Colegio Médico del Uruguay.(Ley N 18.591 – Art.2) No tener antecedentes funcionales negativos provenientes de cualquier Entidad Pública y que revistan gravedad (al momento de la contratación),"Los interesados deberán concurrir a la Oficina de Recursos Humanos del Hospital Español, sito en la calle Av Garibaldi 1729, de lunes a viernes(días hábiles) en el horario de 09:00 a 13:00.","Los interesados deberán concurrir a la Oficina de Recursos Humanos del Hospital Español, sito en la calle Av Garibaldi 1729, de lunes a viernes(días hábiles) en el horario de 09:00 a 13:00.","22097899 INT 230,231 o 350",Administración de Servicios de Salud del Estado - Hospital Español,"Escolaridad, Capacitación complementaria, Antigüedad en la función y evaluación de desempeño Inscripción: presentar original y fotocopia de: Cédula de Identidad ,Credencial Cívica Título,registrados y habilitados en el M.S.P Currículum Vitae y documentación probatoria de méritos y antecedentes."
6921/2020,LIC ENFERMERIA NEFROLOGIA SUPLENTE - Administración de Servicios de Salud del Estado - Hospital Español,19/10/2020,05/10/2020,Profesionales,Contratado,SUPLENTE,"Planificar, ejecutar, dirigir y supervisar los cuidados de enfermería que se realizan en el área de Nefrología, estableciendo prioridades. - Participar de pase de guardia oral y escrito del equipo de enfermería. - Gestionar los recursos materiales, insumos e infraestructura para asegurar la atención de los usuarios en su turno. Entre otros","Ser ciudadano/a Natural o Legal. Título de Licenciado en enfermería, registrado y habilitado por el M.S.P. Curriculum Vitae con documentación probatoria foliada (méritos y antecedentes). Experiencia documentada en el área de Nefrología No tener antecedentes funcionales negativos provenientes de cualquier Entidad Pública y que revistan gravedad (al momento de la contratación)","Los interesados deberán concurrir a la Oficina de Recursos Humanos del Hospital sito en la calle Garibaldi 1729, de lunes a viernes(días hábiles) en el horario de 9 a 13hs.","Los interesados deberán concurrir a la Oficina de Recursos Humanos del Hospital sito en la calle Garibaldi 1729, de lunes a viernes(días hábiles) en el horario de 9 a 13hs.","22097899 INT 230,231 o 350",Administración de Servicios de Salud del Estado - Hospital Español,"Escolaridad, Capacitación complementaria, Antigüedad en la función y evaluación de desempeño. Inscripción: Presentar original y fotocopia de: Cédula de Identidad y Credencial Cívica. Título, registrado y habilitado en el MSP. Currículum Vitae con documentación probatoria foliada méritos y antecedentes."
6922/2020,Auxiliar de Servicio - Administración de Servicios de Salud del Estado - Centro Auxiliar de Paso de los Toros,30/10/2020,09/10/2020,Operativas de servicio,Contratado,18 meses sujeto a evalucion de desempeño,Ver Bases,Requisitos: Ser ciudadano/a Natural ó Legal.Título de Auxiliar Servicio registrado y habilitado en el MSPCurriculum Vitae con documentación probatoria foliado (méritos y antecedentes).No tener antecedentes funcionales negativos provenientes de cualquier Entidad Pública y que revistan gravedad (al momento de la contratación)Disponibilidad horaria al momento de la contratación.,"Los interesados deberán concurrir a la la Oficina de Recursos Humanos Centro Auxiliar Paso de los Toros, sito en calle Victor Alvarez Menendez,en el horario 8:00 a 13:00 desde el día 9 octubre 2020, hasta el 30 Octubre 2020 inclusive.","Los interesados deberán concurrir a la la Oficina de Recursos Humanos Centro Auxiliar Paso de los Toros, sito en calle Victor Alvarez Menendez,en el horario 8:00 a 13:00 desde el día 9 octubre 2020, hasta el 30 Octubre 2020 inclusive.",46643654,Administración de Servicios de Salud del Estado - Centro Auxiliar de Paso de los Toros,"Se valorará: Escolaridad, Capacitación complementaria, Antigüedad en la función y evaluación de desempeño.Inscripción: Presentar original y fotocopia de:Cédula de Identidad y Credencial Cívica Título registrado y habilitado por el M.S.P.Curriculum vitae y documentación probatoria de méritos y antecedentes."
6923/2020,Auxiliar de Servicio Suplente - Administración de Servicios de Salud del Estado - Centro Auxiliar de Paso de los Toros,30/10/2020,09/10/2020,Operativas de servicio,Contratado,Suplencias,Ver Bases,"Requisitos: Ser ciudadano/a Natural o Legal.Título de Auxiliar de Servicio habilitado y registrado en el M.S.P. Currículum Vitae con documentación probatoria foliado (méritos y antecedentes).No tener antecedentes funcionales negativos, provenientes de cualquier Entidad Pública y que revistan gravedad (al momento de la contratación).Disponibilidad Horaria al momento de la contratación.","Los interesados deberán concurrir por inscripciones a la Oficina de Recursos Humanos, sitio en calle Dr. Victor Alvarez Menendez N.º 155, en el horario 8:00 a 13:00 desde el día 9 de Octubre 2020, hasta el 30 octubre 2020 inclusive.-","Los interesados deberán concurrir por inscripciones a la Oficina de Recursos Humanos, sitio en calle Dr. Victor Alvarez Menendez N.º 155, en el horario 8:00 a 13:00 desde el día 9 de Octubre 2020, hasta el 30 octubre 2020 inclusive.-",46643654,Administración de Servicios de Salud del Estado - Centro Auxiliar de Paso de los Toros,"Se valorará: Escolaridad, Capacitación Complementaria, Antigüedad en la función y evaluación de desempeñoInscripción: Presentar original y fotocopia de:Cédula de Identidad y Credencial Cívica.Título habilitado y Registrado en M.S.P.Curiculum Vitae y documentación probatoria de méritos y antecedentes."
6924/2020,Prof.Adjunt Gº3-Periodismo Audiovisual - Universidad de la República - Facultad de Información y Comunicación,08/12/2020,06/10/2020,Docentes,,,Llamado 024/20 a aspirantes a un cargo Efectivo de Profesor/a Adjunto/a Gº3 - Sección Académica Periodismo - perfil: Periodismo Audiovisual,"»Todos los/as interesados/as deberán preinscribirse en la página https://concursos.udelar.edu.uy y luego dirigirse a Sección Concursos para presentar la documentación de lunes a jueves de 10 a 13 hs.Realizada la preinscripción, INSCRIBIRSE presentando los siguientes documentos requeridos:1) Cédula de identidad vigente (cuando la persona que hace la inscripción no es la interesada deberá presentar Poder hecho ante escribano público). 2) Formulario (uno) de inscripción completado. 3) Relación de méritos , firmada (tres copias) (ver Bases). 4) Fotocopias de documentación probatoria (ver bases), una (1) de cada documento (títulos, certificados y/o comprobantes), cuya autenticidad se certifica en la declaración jurada (no presentar originales). 5) Hasta cinco trabajos (un ejemplar por cada uno impreso o digital) (ver bases). 6) Fundamentación, firmada (tres copias) (ver bases). 7) Timbre profesional para declaración jurada ($190).","Lugar de presentación San Salvador 1944, Montevideo. Dependencia: Sección Concursos. Horario, contactos y preguntas frecuentes: fic.edu.uy/concursos Para uruguay concursa:","Lugar de presentación San Salvador 1944, Montevideo. Dependencia: Sección Concursos. Horario, contactos y preguntas frecuentes: fic.edu.uy/concursos Para uruguay concursa:",Teléfono: 2413 8020 internos 1125 y 1126,Universidad de la República - Facultad de Información y Comunicación,"*Tener en cuenta que: si resultan ganadores/as, para tomar posesión del cargo deberán presentar certificado de antecedentes judiciales. 3. Una vez entregada la documentación, para finalizar la inscripción deberán ADJUNTAR Relación de méritos y Fundamentación en (.pdf) OBLIGATORIAMENTE en www.concursos.udelar.edu.uyBases y formulario de inscripción disponibles en www.fic.edu.uy"
